emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,id
1.4,93.444,-36.1,0.04963,5228.1,26150
-2.9,92.20100000000001,-31.4,0.00854,5076.2,23092
-1.8,92.89299999999999,-46.2,0.012990000000000002,5099.1,1207
-0.1,93.2,-42.0,0.04153,5195.8,30118
1.4,93.444,-36.1,0.04968,5228.1,17843
1.1,93.994,-36.4,0.04864,5191.0,23901
-2.9,92.20100000000001,-31.4,0.00829,5076.2,8136
1.4,94.465,-41.8,0.04865,5228.1,30701
-1.8,92.89299999999999,-46.2,0.01266,5099.1,214
-1.7,94.055,-39.8,0.007229999999999999,4991.6,25682
1.4,93.444,-36.1,0.04964,5228.1,12325
1.4,93.91799999999999,-42.7,0.04963,5228.1,9016
1.4,93.444,-36.1,0.04964,5228.1,24415
1.1,93.994,-36.4,0.04857,5191.0,11835
1.4,94.465,-41.8,0.0496,5228.1,21335
-0.1,93.2,-42.0,0.04153,5195.8,20665
-0.1,93.2,-42.0,0.040760000000000005,5195.8,40434
1.4,93.444,-36.1,0.04966,5228.1,23134
-0.1,93.2,-42.0,0.04191,5195.8,9587
1.1,93.994,-36.4,0.0486,5191.0,3008
1.1,93.994,-36.4,0.048589999999999994,5191.0,33157
1.1,93.994,-36.4,0.04856,5191.0,32642
1.4,94.465,-41.8,0.048660000000000016,5228.1,32116
-2.9,92.20100000000001,-31.4,0.00884,5076.2,3233
-1.8,93.075,-47.1,0.01405,5099.1,38144
1.4,93.444,-36.1,0.04967,5228.1,5105
1.4,93.91799999999999,-42.7,0.04957,5228.1,14532
-1.8,92.84299999999999,-50.0,0.01556,5099.1,19596
-1.8,92.89299999999999,-46.2,0.01266,5099.1,35064
-3.0,92.713,-33.0,0.007170000000000002,5023.5,1371
1.4,94.465,-41.8,0.048660000000000016,5228.1,3455
1.1,93.994,-36.4,0.04855,5191.0,30659
1.4,93.91799999999999,-42.7,0.04961,5228.1,11824
-0.1,93.2,-42.0,0.04191,5195.8,1999
-1.8,92.89299999999999,-46.2,0.01313,5099.1,4337
1.4,93.91799999999999,-42.7,0.0496,5228.1,14449
1.4,93.91799999999999,-42.7,0.04962,5228.1,34939
-0.1,93.2,-42.0,0.04153,5195.8,4675
-1.8,92.89299999999999,-46.2,0.01313,5099.1,30679
-1.8,92.89299999999999,-46.2,0.01344,5099.1,17702
1.4,94.465,-41.8,0.0496,5228.1,6844
1.1,93.994,-36.4,0.048589999999999994,5191.0,17561
-3.4,92.431,-26.9,0.007440000000000001,5017.5,1998
1.4,93.444,-36.1,0.04964,5228.1,23232
1.4,93.91799999999999,-42.7,0.04963,5228.1,25576
-0.1,93.2,-42.0,0.0412,5195.8,9791
1.4,93.444,-36.1,0.04963,5228.1,23486
-1.8,92.89299999999999,-46.2,0.01344,5099.1,31029
1.4,93.91799999999999,-42.7,0.04962,5228.1,4434
1.4,93.91799999999999,-42.7,0.04962,5228.1,32905
