id,date,product,price,quantity
1,1636848000000.0,Lettuce - Boston Bib - Organic,8.8,0
2,1636588800000.0,Wine - Cave Springs Dry Riesling,10.2,0
3,1636329600000.0,Cookie Dough - Peanut Butter,10.9,0
4,1636416000000.0,Triple Sec - Mcguinness,14.2,0
5,1636761600000.0,Beer - Sleemans Honey Brown,16.8,0
6,1636329600000.0,Syrup - Kahlua Chocolate,8.1,0
7,1636329600000.0,Cake - Cake Sheet Macaroon,18.0,0
8,1636329600000.0,Cherries - Frozen,5.5,0
9,1636675200000.0,Devonshire Cream,15.9,0
10,1636675200000.0,Pur Source,7.9,0
11,1636588800000.0,Leeks - Large,12.2,0
12,1636329600000.0,Tea - Apple Green Tea,1.6,0
13,1636502400000.0,Artichoke - Fresh,1.0,0
14,1636848000000.0,Beets - Golden,2.6,0
15,1636329600000.0,Oneshot Automatic Soap System,16.1,0
16,1636416000000.0,Veal - Sweetbread,14.0,0
17,1636588800000.0,Latex Rubber Gloves Size 9,13.0,0
18,1636848000000.0,Trueblue - Blueberry 12x473ml,10.4,0
19,1636675200000.0,Pea - Snow,13.1,0
20,1636761600000.0,Pork - Side Ribs,14.4,0
21,1636502400000.0,Ecolab - Ster Bac,18.7,0
22,1636761600000.0,Lamb Shoulder Boneless Nz,18.3,0
23,1636329600000.0,"Butter - Salted, Micro",17.6,0
24,1636329600000.0,Appetizer - Chicken Satay,14.7,0
25,1636848000000.0,Zucchini - Yellow,11.5,0
26,1636588800000.0,Wine - Malbec Trapiche Reserve,5.6,0
27,1636675200000.0,Nescafe - Frothy French Vanilla,12.9,0
28,1636675200000.0,"Red Snapper - Fresh, Whole",14.5,0
29,1636502400000.0,Beef - Diced,6.0,0
30,1636588800000.0,Cookie Dough - Oatmeal Rasin,3.5,0
31,1636502400000.0,Cake Slab,10.5,0
32,1636329600000.0,Goulash Seasoning,8.3,0
33,1636416000000.0,Anisette - Mcguiness,14.8,0
34,1636416000000.0,Towel Dispenser,14.2,0
35,1636761600000.0,Chips - Miss Vickies,19.3,0
36,1636329600000.0,Bagelers - Cinn / Brown Sugar,4.5,0
37,1636416000000.0,Beef - Short Loin,16.7,0
38,1636416000000.0,Dried Cherries,8.1,0
39,1636329600000.0,Appetizer - Shrimp Puff,18.5,0
40,1636588800000.0,Extract - Almond,18.8,0
41,1636848000000.0,Sauce - Oyster,3.8,0
42,1636588800000.0,Container - Hngd Cll Blk 7x7x3,4.9,0
43,1636848000000.0,Yoplait Drink,13.5,0
44,1636416000000.0,Wine - Taylors Reserve,15.1,0
45,1636502400000.0,Juice - Mango,14.8,0
46,1636502400000.0,"Soup - Knorr, Chicken Noodle",3.7,0
47,1636329600000.0,"Pepper - Paprika, Hungarian",14.3,0
48,1636848000000.0,Yoghurt Tubes,3.4,0
49,1636761600000.0,"Pork - Loin, Bone - In",8.9,0
50,1636416000000.0,Oil - Peanut,6.4,0
51,1636329600000.0,"Vermacelli - Sprinkles, Assorted",10.1,0
52,1636502400000.0,Higashimaru Usukuchi Soy,10.3,0
53,1636329600000.0,Sole - Iqf,8.2,0
54,1636502400000.0,Wine - Black Tower Qr,19.5,0
55,1636416000000.0,Beef - Top Butt,19.4,0
